,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient
09/11/2022,227.37,228.6327,224.33,224.51,223.316366,27852910,0,1
10/11/2022,235.43,243.33,235,242.98,241.688168,46268021,0,1
11/11/2022,242.99,247.99,241.93,247.11,245.7962104,34620246,0,1
14/11/2022,241.985,243.91,239.21,241.55,240.2657708,31123340,0,1
15/11/2022,245.66,247,240.03,241.97,240.6835378,31390117,0,1
16/11/2022,242.79,243.8,240.42,241.73,241.1211985,24093272,0.68,1
17/11/2022,237.78,243.25,237.63,241.68,241.0713244,23123544,0,1
18/11/2022,243.51,243.74,239.03,241.22,240.612483,27613523,0,1
21/11/2022,241.43,244.67,241.19,242.05,241.4403926,26394700,0,1
22/11/2022,243.59,245.31,240.71,245.03,244.4128874,19665699,0,1
23/11/2022,245.105,248.28,244.27,247.58,246.9564652,19508462,0,1
25/11/2022,247.31,248.7,246.73,247.49,246.8666919,9200772,0,1
28/11/2022,246.08,246.65,240.8,241.76,241.151123,24810271,0,1
29/11/2022,241.4,242.79,238.21,240.33,239.7247244,17956313,0,1
30/11/2022,240.57,255.33,239.86,255.14,254.4974252,47594239,0,1
01/12/2022,253.87,256.12,250.9156,254.69,254.0485585,26041524,0,1
02/12/2022,249.82,256.06,249.69,255.02,254.3777274,21528520,0,1
05/12/2022,252.01,253.819,248.06,250.2,249.5698667,23435294,0,1
06/12/2022,250.82,251.86,243.78,245.12,244.5026607,22463727,0,1
07/12/2022,244.83,246.16,242.205,244.37,243.7545496,20481522,0,1
08/12/2022,244.84,248.74,243.06,247.4,246.7769185,22611757,0,1
09/12/2022,244.695,248.31,244.16,245.42,244.8019052,20609743,0,1
12/12/2022,247.445,252.54,247.17,252.51,251.8740489,30665069,0,1
13/12/2022,261.69,263.915,253.07,256.92,256.2729422,42196884,0,1
14/12/2022,257.13,262.588,254.31,257.22,256.5721867,35410933,0,1
15/12/2022,253.72,254.2,247.34,249.01,248.3828637,35568093,0,1
16/12/2022,248.55,249.84,243.51,244.69,244.0737437,86101994,0,1
19/12/2022,244.86,245.21,238.71,240.45,239.8444222,29696436,0,1
20/12/2022,239.4,242.91,238.42,241.8,241.1910222,25150802,0,1
21/12/2022,241.69,245.615,240.11,244.43,243.8143985,23690607,0,1
22/12/2022,241.255,241.99,233.87,238.19,237.5901141,28651664,0,1
23/12/2022,236.11,238.87,233.9428,238.73,238.1287541,21206982,0,1
27/12/2022,238.7,238.93,235.83,236.96,236.3632119,16688648,0,1
28/12/2022,236.89,239.72,234.17,234.53,233.9393319,17457104,0,1
29/12/2022,235.65,241.92,235.65,241.01,240.4030119,19770693,0,1
30/12/2022,238.21,239.96,236.66,239.82,239.2160089,21938472,0,1
03/01/2023,243.08,245.75,237.4,239.58,238.9766133,25740036,0,1
04/01/2023,232.275,232.87,225.96,229.1,228.5230074,50623394,0,1
05/01/2023,227.2,227.55,221.7602,222.31,221.7501081,39585623,0,1
06/01/2023,223,225.7601,219.35,224.93,224.3635096,43613574,0,1
09/01/2023,226.45,231.2366,226.41,227.12,226.5479941,27369784,0,1
10/01/2023,227.755,231.31,227.33,228.85,228.273637,27033881,0,1
11/01/2023,231.29,235.95,231.11,235.77,235.1762089,28669331,0,1
12/01/2023,235.26,239.9,233.56,238.51,237.9093081,27269486,0,1
13/01/2023,237.002,239.37,234.92,239.23,238.6274948,21333265,0,1
17/01/2023,237.97,240.91,237.09,240.35,239.7446741,29831257,0,1
18/01/2023,241.565,242.38,235.52,235.81,235.2161081,30028692,0,1
19/01/2023,233.78,235.52,230.68,231.93,231.34588,28623033,0,1
20/01/2023,234.855,240.74,234.51,240.22,239.6150015,35389809,0,1
23/01/2023,241.1,245.165,239.65,242.58,241.9690578,31933951,0,1
24/01/2023,242.5,243.95,240.44,242.04,241.4304178,40234444,0,1
25/01/2023,234.48,243.3,230.9,240.61,240.0040193,66526641,0,1
26/01/2023,243.65,248.31,242,248,247.3754074,33454491,0,1
27/01/2023,248.99,249.83,246.83,248.16,247.5350044,26498939,0,1
30/01/2023,244.51,245.6,242.2,242.71,242.0987304,25867365,0,1
31/01/2023,243.45,247.95,242.945,247.81,247.1858859,26541072,0,1
01/02/2023,248,255.18,245.47,252.75,252.1134444,31259912,0,1
02/02/2023,258.82,264.69,257.25,264.6,263.9336,39940437,0,1
03/02/2023,259.542,264.2,257.1,258.35,257.6993407,29077256,0,1
06/02/2023,257.44,258.3,254.78,256.77,256.12332,22517997,0,1
07/02/2023,260.53,268.775,260.08,267.56,266.8861452,50841365,0,1
08/02/2023,273.2,276.76,266.21,266.73,266.0582356,54686049,0,1
09/02/2023,273.8,273.98,262.8,263.62,262.9560681,42375102,0,1
10/02/2023,261.53,264.09,260.662,263.1,262.4373778,25818489,0,1
13/02/2023,267.64,274.6,267.15,271.32,270.6366756,44630921,0,1
14/02/2023,272.67,274.97,269.28,272.17,271.4845348,37047924,0,1
15/02/2023,268.32,270.73,266.18,269.32,269.32,28962163,0.68,1
16/02/2023,264.02,266.74,261.9,262.15,262.15,29603616,0,1
17/02/2023,259.39,260.09,256,258.06,258.06,30000055,0,1
21/02/2023,254.48,255.49,251.59,252.67,252.67,28397444,0,1
22/02/2023,254.09,254.34,250.34,251.51,251.51,22491056,0,1
23/02/2023,255.56,256.84,250.48,254.77,254.77,29219095,0,1
24/02/2023,249.96,251,248.1,249.22,249.22,24990905,0,1
27/02/2023,252.46,252.82,249.39,250.16,250.16,21190042,0,1
28/02/2023,249.07,251.49,248.73,249.42,249.42,22490950,0,1
01/03/2023,250.76,250.93,245.79,246.27,246.27,27565259,0,1
02/03/2023,246.55,251.4,245.61,251.11,251.11,24833646,0,1
03/03/2023,252.19,255.62,251.39,255.29,255.29,30760136,0,1
06/03/2023,256.425,260.12,255.98,256.87,256.87,24109849,0,1
07/03/2023,256.3,257.69,253.39,254.15,254.15,21473179,0,1
08/03/2023,254.04,254.5417,250.81,253.7,253.7,17340217,0,1
09/03/2023,255.82,259.56,251.58,252.32,252.32,26653387,0,1
10/03/2023,251.08,252.79,247.6,248.59,248.59,28333930,0,1
13/03/2023,247.4,257.91,245.73,253.92,253.92,33339721,0,1
14/03/2023,256.75,261.07,255.86,260.79,260.79,33620293,0,1
15/03/2023,259.98,266.48,259.21,265.44,265.44,46028047,0,1
16/03/2023,265.205,276.56,263.28,276.2,276.2,54832140,0,1
17/03/2023,278.26,283.33,276.3201,279.43,279.43,69527371,0,1
20/03/2023,276.98,277.48,269.85,272.23,272.23,43466649,0,1
21/03/2023,274.88,275,269.5191,273.78,273.78,34558704,0,1
22/03/2023,273.4,281.04,272.18,272.29,272.29,34873330,0,1
23/03/2023,277.94,281.06,275.2,277.66,277.66,36610879,0,1
24/03/2023,277.24,280.63,275.28,280.57,280.57,28199962,0,1
27/03/2023,280.5,281.4589,275.52,276.38,276.38,26840212,0,1
28/03/2023,275.79,276.14,272.0451,275.23,275.23,21878647,0,1
29/03/2023,278.96,281.1398,278.41,280.51,280.51,25087032,0,1
30/03/2023,284.23,284.46,281.48,284.05,284.05,25053410,0,1
31/03/2023,283.73,289.27,283,288.3,288.3,32765976,0,1
03/04/2023,286.52,288.27,283.95,287.23,287.23,24883342,0,1
04/04/2023,287.23,290.4499,285.67,287.18,287.18,25824299,0,1
